fishID,fishName,fishID,experiment,prePost,half,largeMalePosition,number_transits,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant_1,latency_right_screen_1,latency_left_screen_1
fid24,ariana,fid24,mc,post,p2,left,23,265.884,0.023,138.56,6.804,121.726,25.217,4.768,129.728,7.214,265.884,0.023,138.56
fid24,ariana,fid24,mc,pre,p2,right,54,7.798,10.8685,1.525,2.833,5.6855,11.6175,11.158,253.18,13.6625,7.798,10.8685,1.525
fid24,ariana,fid24,mc,post,p3,right,31,0.023,5.358,28.501,6.671,251.883,25.012,1.329,6.275,7.21,0.917,5.358,28.501
fid24,ariana,fid24,mc,pre,p3,left,40,161.8555,0.5735,156.2015,2.5345,107.947,22.0195,6.543,152.493,7.3065,161.8555,0.5735,156.2015
fid25,amy,fid25,mc,post,p1,none,29,0.023,74.365,34.381,8.103,193.405,32.995,53.472,6.132,5.738,0.023,74.365,34.381
fid25,amy,fid25,mc,pre,p1,none,46,61.552,1.2405,24.4635,7.4735,209.2405,38.5415,2.535,23.778,17.19,61.735,1.2405,24.4635
fid25,amy,fid25,mc,post,p2,left,34,139.158,129.142,0.108,9.217,119.106,37.906,11.872,99.434,19.952,139.158,129.142,0.108
fid25,amy,fid25,mc,pre,p2,right,25.5,0,170.128,0.713,1.5345,161.5385,5.5395,0,127.0095,3.8725,300,170.128,0.713
fid25,amy,fid25,mc,post,p3,right,31,48.065,0.023,89.995,0,87.314,18.988,66.032,105.204,18.276,48.065,0.023,89.995
fid25,amy,fid25,mc,pre,p3,left,59,155.282,0.1945,157.234,10.3975,34.4745,35.162,14.7,168.913,36.9335,155.282,0.1945,157.234
fid26,beverly,fid26,mc,post,p1,none,11,0,0.107,0,0,0,0,0,290.41,9.567,300,0.107,300
fid26,beverly,fid26,mc,pre,p1,none,93,2.5475,119.014,9.0215,17.3435,94.496,47.535,17.618,77.9585,44.5595,2.5475,119.014,9.0215
fid26,beverly,fid26,mc,post,p2,left,31,209.111,0.092,225.962,9.767,20.702,13.812,23.359,220.358,14.022,209.111,0.092,225.962
fid26,beverly,fid26,mc,pre,p2,right,104.5,9.727,0.049,13.781,15.9315,43.0445,54.6955,75.1805,56.491,53.8685,9.727,0.049,13.781
fid26,beverly,fid26,mc,post,p3,right,1,0,0.321,0,0,0,0,0,299.583,0,300,0.321,300
fid26,beverly,fid26,mc,pre,p3,left,88.5,114.8795,1.5285,13.092,20.4665,69.2105,73.7135,49.9645,41.916,44.9275,114.8795,1.5285,13.092
fid27,amber,fid27,mc,post,p1,none,9,172.87,5.166,0,1.603,0,0,127.116,60.228,108.118,172.87,5.166,300
fid27,amber,fid27,mc,post,p2,right,21,2.4815,0,93.206,0.5345,178.0185,42.1385,59.3395,0,17.7015,2.4815,300,93.206
fid27,amber,fid27,mc,post,p3,left,26.5,2.18,93.801,121.563,15.8115,21.8545,9.3435,204.628,9.3815,36.334,2.18,93.801,121.563
fid28,becca,fid28,mc,post,p1,none,65.5,7.0985,0.8775,16.728,12.748,152.878,35.504,9.5255,61.168,26.084,7.0985,0.8775,16.728
fid28,becca,fid28,mc,post,p2,right,72.5,15.2245,19.1075,1.437,2.939,170.1565,28.7995,13.146,68.8015,13.303,15.2245,19.1075,1.437
fid28,becca,fid28,mc,post,p3,left,49,0.6935,19.9875,6.045,2.5345,230.442,37.3725,17.2155,1.4495,8.188,0.6935,19.9875,6.045
fid29,alice,fid29,mc,pre,p1,none,24,49.117,242.511,15.418,15.75,33.785,31.933,192.369,15.619,9.206,49.117,242.511,15.418
fid29,alice,fid29,mc,pre,p2,right,44.5,33.057,18.6405,0.6435,11.6615,40.7005,21.475,113.36,76.244,35.393,33.057,18.6405,0.6435
