filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,center,left screen,left side,plant,right screen,right side
mc_pre_fid16_p3_MOORE_largeMale_left_carla_LL.csv,44,MOORE,p3,mc,fid16,left,pre,22.42300000000002,12.543000000000035,18.994999999999976,7.200999999999974,203.0829999999999,36.14300000000007
mc_pre_fid17_p1_MAHMOUD_largeMale_none_amanda_INT.csv,44,MAHMOUD,p1,mc,fid17,none,pre,16.67499999999999,74.31299999999999,31.637000000000032,0,84.58499999999998,86.02700000000002
mc_pre_fid17_p1_MARRONE_largeMale_none_amanda_INT.csv,53,MARRONE,p1,mc,fid17,none,pre,18.420999999999978,65.50399999999996,38.301000000000045,0.799999999999983,129.19300000000004,47.380999999999986
mc_pre_fid17_p1_MARTINEZ_largeMale_none_amanda_INT.csv,38,MARTINEZ,p1,mc,fid17,none,pre,20.058999999999997,72.784,19.913000000000007,5.338000000000001,144.14500000000004,35.76599999999997
mc_pre_fid17_p1_MOORE_largeMale_none_amanda_INT.csv,54,MOORE,p1,mc,fid17,none,pre,18.41299999999999,63.597999999999985,41.30300000000001,0,129.06599999999997,46.97700000000002
mc_pre_fid17_p2_MAHMOUD_largeMale_right_amanda_INT.csv,12,MAHMOUD,p2,mc,fid17,right,pre,2.3999999999999986,268.777,10.413000000000004,0,6.006,4.006
mc_pre_fid17_p2_MARRONE_largeMale_right_amanda_INT.csv,22,MARRONE,p2,mc,fid17,right,pre,4.804999999999999,227.82699999999994,53.52300000000004,0,6.406000000000001,6.14
mc_pre_fid17_p2_MARTINEZ_largeMale_right_amanda_INT.csv,14,MARTINEZ,p2,mc,fid17,right,pre,3.995,252.12,28.026,0,7.071,4.28
mc_pre_fid17_p2_MOORE_largeMale_right_amanda_INT.csv,22,MOORE,p2,mc,fid17,right,pre,5.339,229.85300000000007,51.78699999999995,0,6.672000000000001,5.605
mc_pre_fid17_p3_Rotholz_largeMale_left_amanda_INT.csv,33,Rotholz,p3,mc,fid17,left,pre,23.224000000000018,18.017999999999997,37.236,4.404999999999994,187.78499999999997,20.82300000000001
mc_pre_fid17_p3_SANCHEZ_largeMale_left_amanda_INT.csv,31,SANCHEZ,p3,mc,fid17,left,pre,26.857999999999986,21.622000000000007,36.03299999999999,2.4070000000000107,188.783,23.217000000000013
