filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant,latency_right_screen,latency_left_screen
mc_post_fid14_p3_Gadot_largeMale_right_delfina_LS.csv,80,Gadot,p3,mc,fid14,right,post,59.632,49.755,0.023,16.547,74.559,30.698,7.743,133.868,36.562,59.632,49.755,0.023
mc_post_fid14_p3_GAJWANI_largeMale_right_delfina_LS.csv,68,GAJWANI,p3,mc,fid14,right,post,59.645,49.766,1.985,13.876,81.411,24.571,8.272,137.313,32.572,59.645,49.766,1.985
mc_post_fid15_p1_EGBULONU_largeMale_none_chloe_INT.csv,81,EGBULONU,p1,mc,fid15,none,post,0,0.723,9.332,8.211,194.441,33.363,0,49.452,14.392,300,0.723,9.332
mc_post_fid15_p1_ESTRELLADO_largeMale_none_chloe_INT.csv,65,ESTRELLADO,p1,mc,fid15,none,post,0,2.001,8.946,10.145,201.572,24.453,0,46.169,15.66,300,2.001,8.946
mc_post_fid15_p1_FER300NDES_largeMale_none_chloe_INT.csv,60,FER300NDES,p1,mc,fid15,none,post,0,0.524,8.865,9.081,202.351,24.779,0,47.251,15.876,300,0.524,8.865
mc_post_fid15_p1_Gadot_largeMale_none_chloe_INT.csv,91,Gadot,p1,mc,fid15,none,post,0,1.208,8.835,8.801,191.697,35.273,0,47.527,15.494,300,1.208,8.835
mc_post_fid15_p1_GAJWANI_largeMale_none_chloe_INT.csv,31,GAJWANI,p1,mc,fid15,none,post,0,2.302,8.708,8.801,214.618,12.818,0,52.05,9.351,300,2.302,8.708
mc_post_fid15_p2_EGBULONU_largeMale_left_chloe_INT.csv,65,EGBULONU,p2,mc,fid15,left,post,19.634,23.371,2.55,9.075,43.772,18.426,4.267,189.938,31.972,19.634,23.371,2.55
mc_post_fid15_p2_ESTRELLADO_largeMale_left_chloe_INT.csv,61,ESTRELLADO,p2,mc,fid15,left,post,20.78,24.515,1.825,12.808,44.308,20.029,2.668,195.469,22.893,20.78,24.515,1.825
mc_post_fid15_p2_FER300NDES_largeMale_left_chloe_INT.csv,65,FER300NDES,p2,mc,fid15,left,post,19.3,23.169,0.413,11.748,44.172,19.118,2.401,187.151,35.105,19.3,23.169,0.413
mc_post_fid15_p2_Gadot_largeMale_left_chloe_INT.csv,79,Gadot,p2,mc,fid15,left,post,20.168,23.102,0.023,11.741,45.769,18.421,1.867,187.742,34.437,20.168,23.102,0.023
mc_post_fid15_p2_GAJWANI_largeMale_left_chloe_INT.csv,47,GAJWANI,p2,mc,fid15,left,post,19.976,23.18,2.092,10.413,46.44,16.617,2.403,200.948,21.087,19.976,23.18,2.092
mc_post_fid15_p3_EGBULONU_largeMale_right_chloe_INT.csv,39,EGBULONU,p3,mc,fid15,right,post,0,1.582,0,0,0,0,0,284.544,13.874,300,1.582,300
mc_post_fid15_p3_ESTRELLADO_largeMale_right_chloe_INT.csv,15,ESTRELLADO,p3,mc,fid15,right,post,0,0.725,0,0,0,0,0,293.932,5.343,300,0.725,300
mc_post_fid15_p3_FER300NDES_largeMale_right_chloe_INT.csv,25,FER300NDES,p3,mc,fid15,right,post,0,0.133,0,0,0,0,0,282.68,17.187,300,0.133,300
mc_post_fid15_p3_Gadot_largeMale_right_chloe_INT.csv,41,Gadot,p3,mc,fid15,right,post,0,1.664,0,0,0,0,0,282.316,16.02,300,1.664,300
mc_post_fid15_p3_GAJWANI_largeMale_right_chloe_INT.csv,1,GAJWANI,p3,mc,fid15,right,post,0,2.427,0,0,0,0,0,297.573,0,300,2.427,300
mc_post_fid16_p1_EGBULONU_largeMale_none_carla_LL.csv,38,EGBULONU,p1,mc,fid16,none,post,14.352,48.783,30.365,16.548,8.275,26.429,71.005,131.896,45.378,14.352,48.783,30.365
mc_post_fid16_p1_ESTRELLADO_largeMale_none_carla_LL.csv,48,ESTRELLADO,p1,mc,fid16,none,post,14.463,2.815,30.242,33.136,8.012,25.883,55.527,134.418,42.077,14.463,2.815,30.242
mc_post_fid16_p1_FER300NDES_largeMale_none_carla_LL.csv,46,FER300NDES,p1,mc,fid16,none,post,13.916,2.206,29.934,13.279,7.774,28.594,72.205,123.825,53.657,13.916,2.206,29.934
mc_post_fid16_p1_Gadot_largeMale_none_carla_LL.csv,50,Gadot,p1,mc,fid16,none,post,14.417,3.739,30.166,18.25,7.474,27.495,69.038,123.454,54.169,14.417,3.739,30.166
mc_post_fid16_p1_GAJWANI_largeMale_none_carla_LL.csv,38,GAJWANI,p1,mc,fid16,none,post,14.494,3.55,30.244,26.7,8.272,28.032,58.553,138.457,38.508,14.494,3.55,30.244
mc_post_fid16_p2_EGBULONU_largeMale_left_carla_LL.csv,50,EGBULONU,p2,mc,fid16,left,post,221.495,2.341,46.385,26.157,86.522,66.192,24.558,57.658,36.572,221.495,2.341,46.385
mc_post_fid16_p2_ESTRELLADO_largeMale_left_carla_LL.csv,57,ESTRELLADO,p2,mc,fid16,left,post,221.472,0.653,45.23,46.132,93.816,53.901,11.209,59.049,35.24,221.472,0.653,45.23
mc_post_fid16_p2_FER300NDES_largeMale_left_carla_LL.csv,55,FER300NDES,p2,mc,fid16,left,post,220.861,0.574,44.651,27.191,81.99,67.906,27.294,56.318,38.678,220.861,0.574,44.651
mc_post_fid16_p2_Gadot_largeMale_left_carla_LL.csv,53,Gadot,p2,mc,fid16,left,post,221.293,1.836,44.585,27.761,87.95,63.534,26.162,56.096,36.567,221.293,1.836,44.585
mc_post_fid16_p2_GAJWANI_largeMale_left_carla_LL.csv,51,GAJWANI,p2,mc,fid16,left,post,221.675,2.353,46.063,25.897,93.382,60.284,25.359,59.63,33.095,221.675,2.353,46.063
mc_post_fid16_p3_EGBULONU_largeMale_right_carla_LL.csv,36,EGBULONU,p3,mc,fid16,right,post,0,0,1.009,10.141,235.603,53.121,0,0,0,300,300,1.009
mc_post_fid16_p3_ESTRELLADO_largeMale_right_carla_LL.csv,23,ESTRELLADO,p3,mc,fid16,right,post,0,0,0.952,9.879,235.394,53.649,0,0,0,300,300,0.952
mc_post_fid16_p3_FER300NDES_largeMale_right_carla_LL.csv,35,FER300NDES,p3,mc,fid16,right,post,0,0,0.308,9.842,219.112,70.535,0,0,0,300,300,0.308
mc_post_fid16_p3_Gadot_largeMale_right_carla_LL.csv,40,Gadot,p3,mc,fid16,right,post,0,0,0.023,8.546,225.972,65.135,0,0,0,300,300,0.023
mc_post_fid16_p3_GAJWANI_largeMale_right_carla_LL.csv,23,GAJWANI,p3,mc,fid16,right,post,0,0,18.003,9.074,237.982,47.25,0,0,0,300,300,18.003
mc_post_fid17_p1_EGBULONU_largeMale_none_amanda_INT.csv,40,EGBULONU,p1,mc,fid17,none,post,7.554,17.428,42.788,13.344,82.212,34.815,16.008,106.735,45.656,7.554,17.428,42.788
mc_post_fid17_p1_ESTRELLADO_largeMale_none_amanda_INT.csv,38,ESTRELLADO,p1,mc,fid17,none,post,0,17.104,42.766,38.243,80.281,31.229,0,114.058,35.969,300,17.104,42.766
mc_post_fid17_p1_FER300NDES_largeMale_none_amanda_INT.csv,52,FER300NDES,p1,mc,fid17,none,post,0,16.664,42.489,35.531,77.143,34.239,0,100.747,51.729,300,16.664,42.489
mc_post_fid17_p1_Gadot_largeMale_none_amanda_INT.csv,50,Gadot,p1,mc,fid17,none,post,11.291,17.161,42.72,30.87,79.817,33.148,4.268,104.89,46.984,11.291,17.161,42.72
mc_post_fid17_p1_GAJWANI_largeMale_none_amanda_INT.csv,41,GAJWANI,p1,mc,fid17,none,post,11.133,17.271,42.629,29.098,76.907,34.174,4.803,113.345,39.351,11.133,17.271,42.629
mc_post_fid17_p2_EGBULONU_largeMale_right_amanda_INT.csv,5,EGBULONU,p2,mc,fid17,right,post,0,1.416,0,0,0,0,0,291.647,6.937,300,1.416,300
mc_post_fid17_p2_ESTRELLADO_largeMale_right_amanda_INT.csv,9,ESTRELLADO,p2,mc,fid17,right,post,0,2.398,0,0,0,0,0,286.394,11.208,300,2.398,300
mc_post_fid17_p2_FER300NDES_largeMale_right_amanda_INT.csv,17,FER300NDES,p2,mc,fid17,right,post,0,0.216,0,0,0,0,0,284.086,15.614,300,0.216,300
mc_post_fid17_p2_Gadot_largeMale_right_amanda_INT.csv,21,Gadot,p2,mc,fid17,right,post,0,0.023,0,0,0,0,0,283.159,16.818,300,0.023,300
mc_post_fid17_p2_GAJWANI_largeMale_right_amanda_INT.csv,3,GAJWANI,p2,mc,fid17,right,post,0,2.733,0,0,0,0,0,292.657,4.542,300,2.733,300
mc_post_fid17_p3_ESTRELLADO_largeMale_left_amanda_INT.csv,5,ESTRELLADO,p3,mc,fid17,left,post,0,0.393,0,0,0,0,0,294.225,5.068,300,0.393,300
mc_post_fid17_p3_FER300NDES_largeMale_left_amanda_INT.csv,25,FER300NDES,p3,mc,fid17,left,post,0,0.416,0,0,0,0,0,276.597,22.987,300,0.416,300
mc_post_fid17_p3_Gadot_largeMale_left_amanda_INT.csv,17,Gadot,p3,mc,fid17,left,post,0,0.023,0,0,0,0,0,283.346,16.551,300,0.023,300
mc_post_fid17_p3_GAJWANI_largeMale_left_amanda_INT.csv,3,GAJWANI,p3,mc,fid17,left,post,0,0.265,0,0,0,0,0,296.532,3.203,300,0.265,300
mc_post_fid18_p1_ESTRELLADO_largeMale_none_anna_LL.csv,42,ESTRELLADO,p1,mc,fid18,none,post,2.581,21.266,9.254,15.831,13.41,21.471,3.47,223.294,22.139,2.581,21.266,9.254
