experiment,fishID,half,code,prePost,largeMalePosition,fishName,treatment,totalTime,number_transits
mc,fid14,p1,left side,post,none,delfina,LS.csv,6.412000000000001,28
mc,fid14,p1,left side,pre,none,delfina,LS.csv,43.77750000000003,84.5
mc,fid14,p1,plant,post,none,delfina,LS.csv,2.069499999999998,25
mc,fid14,p1,plant,pre,none,delfina,LS.csv,1.3329999999999984,84
mc,fid14,p1,right screen,post,none,delfina,LS.csv,227.72899999999998,28
mc,fid14,p1,right screen,pre,none,delfina,LS.csv,94.28800000000004,84.5
mc,fid14,p1,right side,post,none,delfina,LS.csv,13.07400000000002,28
mc,fid14,p1,right side,pre,none,delfina,LS.csv,76.56400000000001,84.5
mc,fid14,p2,center,post,left,delfina,LS.csv,1.4664999999999964,8
mc,fid14,p2,center,pre,right,delfina,LS.csv,5.071499999999997,20
mc,fid14,p2,left screen,post,left,delfina,LS.csv,49.347999999999985,8
mc,fid14,p2,left screen,pre,right,delfina,LS.csv,4.0045,20
mc,fid14,p2,left side,post,left,delfina,LS.csv,1.875,8
mc,fid14,p2,left side,pre,right,delfina,LS.csv,9.8765,20
mc,fid14,p2,plant,post,left,delfina,LS.csv,1.2005000000000052,8
mc,fid14,p2,right screen,post,left,delfina,LS.csv,245.31199999999998,8
mc,fid14,p2,right screen,pre,right,delfina,LS.csv,251.4135,20
mc,fid14,p2,right side,post,left,delfina,LS.csv,1.3359999999999843,8
mc,fid14,p2,right side,pre,right,delfina,LS.csv,28.913500000000003,20
mc,fid14,p3,center,post,right,delfina,LS.csv,16.546999999999947,77
mc,fid14,p3,left screen,post,right,delfina,LS.csv,77.27299999999998,77
mc,fid14,p3,left side,post,right,delfina,LS.csv,27.13499999999989,77
mc,fid14,p3,plant,post,right,delfina,LS.csv,7.216999999999999,77
mc,fid14,p3,right screen,post,right,delfina,LS.csv,135.20000000000002,77
mc,fid14,p3,right screen,pre,left,delfina,LS.csv,295.068,5
mc,fid14,p3,right side,post,right,delfina,LS.csv,36.56200000000008,77
mc,fid14,p3,right side,pre,left,delfina,LS.csv,3.7489999999999952,5
mc,fid15,p1,center,post,none,chloe,INT.csv,8.801000000000005,65
mc,fid15,p1,center,pre,none,chloe,INT.csv,33.428,51
mc,fid15,p1,left screen,post,none,chloe,INT.csv,201.572,65
mc,fid15,p1,left screen,pre,none,chloe,INT.csv,31.829500000000003,51
mc,fid15,p1,left side,post,none,chloe,INT.csv,24.77900000000003,65
mc,fid15,p1,left side,pre,none,chloe,INT.csv,37.93899999999998,51
mc,fid15,p1,plant,pre,none,chloe,INT.csv,62.327499999999986,51
mc,fid15,p1,right screen,post,none,chloe,INT.csv,47.52700000000001,65
mc,fid15,p1,right screen,pre,none,chloe,INT.csv,101.28699999999998,51
mc,fid15,p1,right side,post,none,chloe,INT.csv,15.493999999999993,65
mc,fid15,p1,right side,pre,none,chloe,INT.csv,32.030499999999996,51
mc,fid15,p2,center,post,left,chloe,INT.csv,11.741000000000028,65
mc,fid15,p2,center,pre,right,chloe,INT.csv,5.669999999999973,29
mc,fid15,p2,left screen,post,left,chloe,INT.csv,44.308,65
mc,fid15,p2,left screen,pre,right,chloe,INT.csv,5.472000000000008,29
