filename,number_transits,code,totalTime,experiment,fishID,fishName,treatment,half,scorer,largeMalePosition,prePost
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,right side,27.201000000000022,mc,fid10,alyssa,INT.csv,p1,ADAMS,none,post
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,center,22.420000000000027,mc,fid10,alyssa,INT.csv,p1,BALLARD,none,post
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,left screen,144.677,mc,fid10,alyssa,INT.csv,p1,BALLARD,none,post
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,left side,37.372999999999976,mc,fid10,alyssa,INT.csv,p1,BALLARD,none,post
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,plant,29.628,mc,fid10,alyssa,INT.csv,p1,BALLARD,none,post
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,right screen,38.439,mc,fid10,alyssa,INT.csv,p1,BALLARD,none,post
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,right side,26.489999999999995,mc,fid10,alyssa,INT.csv,p1,BALLARD,none,post
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,center,27.522999999999964,mc,fid10,alyssa,INT.csv,p1,BAO,none,post
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,left screen,141.74300000000002,mc,fid10,alyssa,INT.csv,p1,BAO,none,post
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,left side,37.63599999999998,mc,fid10,alyssa,INT.csv,p1,BAO,none,post
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,plant,26.864,mc,fid10,alyssa,INT.csv,p1,BAO,none,post
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,right screen,37.36500000000002,mc,fid10,alyssa,INT.csv,p1,BAO,none,post
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,right side,28.439000000000007,mc,fid10,alyssa,INT.csv,p1,BAO,none,post
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,center,10.510999999999974,mc,fid10,alyssa,INT.csv,p1,cornish,none,post
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,left screen,157.12900000000005,mc,fid10,alyssa,INT.csv,p1,cornish,none,post
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,left side,23.447999999999944,mc,fid10,alyssa,INT.csv,p1,cornish,none,post
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,plant,38.620999999999995,mc,fid10,alyssa,INT.csv,p1,cornish,none,post
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,right screen,43.37000000000005,mc,fid10,alyssa,INT.csv,p1,cornish,none,post
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,right side,24.24900000000003,mc,fid10,alyssa,INT.csv,p1,cornish,none,post
mc_post_fid10_p1_CUI_largeMale_none_alyssa_INT.csv,45,center,17.09200000000004,mc,fid10,alyssa,INT.csv,p1,CUI,none,post
mc_post_fid10_p1_CUI_largeMale_none_alyssa_INT.csv,45,left screen,152.15600000000003,mc,fid10,alyssa,INT.csv,p1,CUI,none,post
mc_post_fid10_p1_CUI_largeMale_none_alyssa_INT.csv,45,left side,32.832999999999934,mc,fid10,alyssa,INT.csv,p1,CUI,none,post
mc_post_fid10_p1_CUI_largeMale_none_alyssa_INT.csv,45,plant,29.629999999999974,mc,fid10,alyssa,INT.csv,p1,CUI,none,post
mc_post_fid10_p1_CUI_largeMale_none_alyssa_INT.csv,45,right screen,38.88199999999996,mc,fid10,alyssa,INT.csv,p1,CUI,none,post
mc_post_fid10_p1_CUI_largeMale_none_alyssa_INT.csv,45,right side,27.540000000000035,mc,fid10,alyssa,INT.csv,p1,CUI,none,post
mc_post_fid10_p2_ADAMS_largeMale_right_alyssa_INT.csv,17,left screen,2.674000000000035,mc,fid10,alyssa,INT.csv,p2,ADAMS,right,post
mc_post_fid10_p2_ADAMS_largeMale_right_alyssa_INT.csv,17,left side,2.5179999999999723,mc,fid10,alyssa,INT.csv,p2,ADAMS,right,post
mc_post_fid10_p2_ADAMS_largeMale_right_alyssa_INT.csv,17,plant,1.3349999999999795,mc,fid10,alyssa,INT.csv,p2,ADAMS,right,post
mc_post_fid10_p2_ADAMS_largeMale_right_alyssa_INT.csv,17,right screen,169.43999999999997,mc,fid10,alyssa,INT.csv,p2,ADAMS,right,post
mc_post_fid10_p2_ADAMS_largeMale_right_alyssa_INT.csv,17,right side,123.38600000000004,mc,fid10,alyssa,INT.csv,p2,ADAMS,right,post
mc_post_fid10_p2_BALLARD_largeMale_right_alyssa_INT.csv,28,left screen,3.5570000000000164,mc,fid10,alyssa,INT.csv,p2,BALLARD,right,post
mc_post_fid10_p2_BALLARD_largeMale_right_alyssa_INT.csv,28,left side,1.6019999999999754,mc,fid10,alyssa,INT.csv,p2,BALLARD,right,post
mc_post_fid10_p2_BALLARD_largeMale_right_alyssa_INT.csv,28,plant,1.3340000000000032,mc,fid10,alyssa,INT.csv,p2,BALLARD,right,post
mc_post_fid10_p2_BALLARD_largeMale_right_alyssa_INT.csv,28,right screen,271.971,mc,fid10,alyssa,INT.csv,p2,BALLARD,right,post
mc_post_fid10_p2_BALLARD_largeMale_right_alyssa_INT.csv,28,right side,20.82200000000002,mc,fid10,alyssa,INT.csv,p2,BALLARD,right,post
mc_post_fid10_p2_BAO_largeMale_right_alyssa_INT.csv,28,center,0.8640000000000327,mc,fid10,alyssa,INT.csv,p2,BAO,right,post
mc_post_fid10_p2_BAO_largeMale_right_alyssa_INT.csv,28,left screen,2.66700000000003,mc,fid10,alyssa,INT.csv,p2,BAO,right,post
mc_post_fid10_p2_BAO_largeMale_right_alyssa_INT.csv,28,left side,2.423999999999978,mc,fid10,alyssa,INT.csv,p2,BAO,right,post
